test,predict
3.621444444,3.9205606
3.893555556,4.029009
3.872444444,4.0864406
3.478777778,3.9978268
3.532222222,3.7994778
3.648,3.0329766
3.481777778,3.0330434
3.506666667,3.0874379
3.179333333,3.152242
3.313111111,3.3414102
3.300666667,3.1140575
3.373333333,3.1629245
3.3034444440000006,3.2025497
2.935666667,3.0201948
3.136444444,3.0504153
3.193333333,2.9737704
3.019444444,3.0185301
2.970666667,2.9328942
2.930666667,3.1224205
3.073555556,3.1927135
3.0666666670000002,3.3896842
3.059333333,3.0712974
2.94,3.025567
