test,predict
3.546444444,3.6987245
3.666222222,3.756089
3.271777778,3.7098217
3.419888889,3.8456104
3.2675555560000005,3.554839
3.297333333,3.2058737
3.220222222,3.3025312
3.066444444,3.18791
3.261555556,2.991567
3.442888889,3.1565013
3.465555556,3.6519146
3.334333333,3.4116085
3.401333333,3.0984268
3.192333333,2.9965272
3.067,2.980072
2.997222222,2.9114246
2.784222222,2.992462
2.89,3.1092448
2.818777778,3.2073467
2.868555556,2.9996338
2.731222222,2.9461381
2.762777778,3.057535
2.698666667,3.5318651
