test,predict
3.6432222219999995,3.4935148
3.383777778,3.5798757
3.339777778,3.5906062
4.044,3.5081737
3.680888889,3.5209327
3.424777778,3.2292588
3.466111111,3.160527
3.470333333,3.2094676
3.522222222,3.3208466
3.398666667,3.3865547
3.265777778,3.4366546
3.177222222,3.461436
3.268555556,3.4240239
3.263222222,3.5009482
3.061888889,3.2934554
3.212666667,3.229651
3.219111111,3.2605815
3.1401111110000004,3.4276931
3.081222222,3.3153207
3.1951111110000006,3.046397
3.164777778,2.8369474
3.287888889,2.8653882
3.361111111,2.820702
