test,predict
3.594333333,3.796367
3.756555556,3.5197399
3.578666667,3.301363
3.8262222219999997,3.4284587
3.568,3.4889793
3.4548888889999994,3.1907558
3.328888889,3.2322419
3.435555556,3.346885
3.204111111,3.1779592
3.068444444,3.1003616
3.132333333,3.1855195
3.177444444,3.100462
3.168111111,3.2277043
3.5284444439999993,3.1980805
3.7358888889999995,3.1505463
3.756444444,3.1263208
3.478,3.059683
3.491555556,3.0718827
2.904555556,3.0322437
2.812444444,3.076209
2.623222222,3.0551896
2.786333333,3.0859218
2.687777778,3.0191524
