test,predict
3.594333333,3.5753224
3.756555556,3.3681903
3.578666667,3.2527494
3.8262222219999997,3.3485441
3.568,3.3690262
3.4548888889999994,3.2223594
3.328888889,3.2728913
3.435555556,3.3455513
3.204111111,3.2808383
3.068444444,3.27806
3.132333333,3.31397
3.177444444,3.2957728
3.168111111,3.2505202
3.5284444439999993,3.2321374
3.7358888889999995,3.14648
3.756444444,3.16012
3.478,3.1204472
3.491555556,3.1528575
2.904555556,3.0572612
2.812444444,3.0759015
2.623222222,3.106958
2.786333333,3.1237502
2.687777778,2.9471388
