kf, avg-mse, std-mse, avg-mae, std-mae, avg-mape, std-mape, avg-r2, std-r2
1,0.14322519544803797,0.018204100109604316,0.3049134490773744,0.01658673964430083,0.09186786880850352,0.005309761881170119,0.09797584719706018,0.11464838939502861
2,0.09649566004958285,0.009919106740626757,0.2419402901533479,0.009933688741788613,0.0803104112514541,0.0030659035729979156,-0.229554444026531,0.12638995129360608
3,0.07015401927758362,0.004030445115025842,0.22188874515119839,0.010754985229336572,0.06565563152494544,0.00356623382964059,-0.47680206066155995,0.08484431416113293
4,0.09465514291010517,0.003503853454640846,0.25374082139731435,0.008166441247119566,0.07687224429386272,0.0029433937607609394,0.24824597104278406,0.027827710892618734
5,0.032936894768596146,0.009931069998580372,0.1479783897470745,0.02093091465957087,0.047054623001775785,0.00682357739855433,0.3689707996144032,0.19026672684859985
6,0.12136278823931701,0.03248332608779526,0.2813423331178594,0.023998762899514744,0.08148347385846057,0.006174483928097024,0.03184798753922202,0.2591304796104745
7,0.1411239983669108,0.017068282015756726,0.2507512726572064,0.009773301311704233,0.07015460350148055,0.0029582380567083322,-0.053505472260517786,0.12741651819511945
8,0.05879155822140754,0.010279384571609979,0.19439172168279134,0.014389710714573406,0.05796010953544599,0.004176740458094136,0.27831355248225936,0.126182954808172
