test,predict
3.621444444,3.705339
3.893555556,3.831172
3.872444444,4.0231485
3.478777778,3.9178138
3.532222222,3.5629885
3.648,3.0175164
3.481777778,3.0435524
3.506666667,3.277511
3.179333333,3.3063984
3.313111111,3.1828325
3.300666667,3.0228605
3.373333333,3.0674224
3.3034444440000006,3.1142824
2.935666667,3.0549028
3.136444444,3.0747066
3.193333333,3.0233243
3.019444444,3.0139332
2.970666667,2.9498158
2.930666667,3.1231976
3.073555556,3.2908518
3.0666666670000002,3.5108197
3.059333333,3.2355177
2.94,2.9587088
