test,predict
3.6432222219999995,3.505895
3.383777778,3.5367532
3.339777778,3.6122143
4.044,3.5648801
3.680888889,3.5857754
3.424777778,3.237717
3.466111111,3.1831634
3.470333333,3.2528431
3.522222222,3.413761
3.398666667,3.351971
3.265777778,3.4337022
3.177222222,3.589643
3.268555556,3.5894136
3.263222222,3.556667
3.061888889,3.3316276
3.212666667,3.290418
3.219111111,3.3144276
3.1401111110000004,3.3402243
3.081222222,3.2431211
3.1951111110000006,2.9940176
3.164777778,2.8861275
3.287888889,2.8605313
3.361111111,2.825092
