test,predict
3.6432222219999995,3.5040345
3.383777778,3.466174
3.339777778,3.5139072
4.044,3.4879105
3.680888889,3.515009
3.424777778,3.2566743
3.466111111,3.2227023
3.470333333,3.0776758
3.522222222,3.1584334
3.398666667,3.3009965
3.265777778,3.494798
3.177222222,3.59247
3.268555556,3.3787007
3.263222222,3.3490713
3.061888889,3.207386
3.212666667,3.1693733
3.219111111,3.1865554
3.1401111110000004,3.186925
3.081222222,3.0633347
3.1951111110000006,3.0096502
3.164777778,2.867168
3.287888889,2.8584793
3.361111111,2.8164084
